city,param_max_features,param_min_samples_leaf,param_max_depth,mae,std
San Juan,sqrt,20,10,33.19276184723553,9.437780137253302
San Juan,sqrt,20,20,33.19276184723553,9.437780137253302
San Juan,sqrt,20,,33.19276184723553,9.437780137253302
San Juan,sqrt,10,10,34.06580272706532,9.616067063081392
San Juan,sqrt,10,,34.077327549850544,9.566524102049646
San Juan,sqrt,10,20,34.077327549850544,9.566524102049646
San Juan,sqrt,5,10,34.296014833691565,9.811864839566617
San Juan,0.3,20,20,34.654364614202194,9.559540809097134
San Juan,0.3,20,10,34.654364614202194,9.559540809097134
San Juan,0.3,20,,34.654364614202194,9.559540809097134
San Juan,sqrt,5,,34.659704751039214,9.546002552446438
San Juan,sqrt,5,20,34.659704751039214,9.546002552446438
San Juan,0.3,10,20,35.3431658739638,10.039823247710109
San Juan,0.3,10,,35.3431658739638,10.039823247710109
San Juan,0.3,10,10,35.37458581414002,10.047451897474724
San Juan,sqrt,1,10,35.43963521103708,9.764498514036653
San Juan,sqrt,1,20,35.64954338568252,9.767584820009555
San Juan,sqrt,1,,35.76662820512821,9.847565943796608
San Juan,0.3,5,20,36.1231798579052,10.589733674219444
San Juan,0.3,5,,36.1231798579052,10.589733674219444
San Juan,0.5,20,,36.149672324189325,10.340865572674845
San Juan,0.5,20,20,36.149672324189325,10.340865572674845
San Juan,0.5,20,10,36.149672324189325,10.340865572674845
San Juan,0.3,5,10,36.2102462436042,10.863213968472241
San Juan,0.3,1,20,36.440804319703346,12.066361511776837
San Juan,0.3,1,,36.523576923076924,11.944644007496077
San Juan,0.3,1,10,37.16181163966108,11.679962212098859
San Juan,0.5,10,20,37.76051894187786,11.455917556395418
San Juan,0.5,10,,37.76051894187786,11.455917556395418
San Juan,0.5,10,10,37.884645924683845,11.37663098779285
San Juan,0.5,5,10,38.101663857644006,12.949472597824537
San Juan,0.5,1,20,38.435278597217994,13.95918919040844
San Juan,0.5,5,,38.46642188138654,12.661963071832876
San Juan,0.5,5,20,38.46642188138654,12.661963071832876
San Juan,0.5,1,10,38.48509372764573,13.049187223764257
San Juan,0.5,1,,38.625653846153845,13.690068737127827
San Juan,1.0,20,,38.9462711898832,14.099716934972067
San Juan,1.0,20,20,38.9462711898832,14.099716934972067
San Juan,1.0,20,10,38.9462711898832,14.099716934972067
San Juan,1.0,10,10,41.4055347293722,14.033845971866677
San Juan,1.0,10,20,41.40991268699638,14.032550264538063
San Juan,1.0,10,,41.40991268699638,14.032550264538063
San Juan,1.0,5,10,41.80218383678254,14.642619662021527
San Juan,1.0,5,20,41.98159667605778,14.811282651639965
San Juan,1.0,5,,41.98159667605778,14.811282651639965
San Juan,1.0,1,10,42.01940669697825,16.069269632813242
San Juan,1.0,1,,42.5490641025641,15.890253320233649
San Juan,1.0,1,20,42.736491946661026,15.87413170239228
Iquitos,sqrt,20,10,6.628992400761996,0.9518265134383644
Iquitos,sqrt,20,20,6.628992400761996,0.9518265134383644
Iquitos,sqrt,20,,6.628992400761996,0.9518265134383644
Iquitos,0.3,20,20,6.7916599957834025,0.8709424160848026
Iquitos,0.3,20,,6.7916599957834025,0.8709424160848026
Iquitos,0.3,20,10,6.7916599957834025,0.8709424160848026
Iquitos,sqrt,10,20,6.821309421804361,0.8530874458901618
Iquitos,sqrt,10,,6.821309421804361,0.8530874458901618
Iquitos,sqrt,10,10,6.824543644835709,0.8527977610826191
Iquitos,sqrt,5,10,6.939012626593022,0.7895141692322576
Iquitos,sqrt,5,,6.94073043047476,0.7956968695265509
Iquitos,sqrt,5,20,6.94073043047476,0.7956968695265509
Iquitos,0.3,10,10,7.031409488858626,0.7511636490958176
Iquitos,0.3,10,20,7.032044181771942,0.7511974251218984
Iquitos,0.3,10,,7.032044181771942,0.7511974251218984
Iquitos,0.5,20,20,7.075858211422347,0.7778106920343271
Iquitos,0.5,20,,7.075858211422347,0.7778106920343271
Iquitos,0.5,20,10,7.075858211422347,0.7778106920343271
Iquitos,0.3,5,20,7.16109160224447,0.8337508960609464
Iquitos,0.3,5,,7.16109160224447,0.8337508960609464
Iquitos,0.3,5,10,7.17299900001903,0.8354390613909022
Iquitos,0.5,10,10,7.244572980909162,0.766397132517161
Iquitos,0.5,10,,7.256505148513151,0.769910255487799
Iquitos,0.5,10,20,7.256505148513151,0.769910255487799
Iquitos,sqrt,1,,7.419186046511629,0.8284210417357116
Iquitos,sqrt,1,20,7.42140511595108,0.8305008580310989
Iquitos,sqrt,1,10,7.524127951481985,0.9133961490964587
Iquitos,0.5,5,20,7.6475842588497045,0.8038207606939767
Iquitos,0.5,5,,7.6475842588497045,0.8038207606939767
Iquitos,0.5,5,10,7.668333479350702,0.850012589303235
Iquitos,1.0,20,20,7.776950570197921,0.5483705682151677
Iquitos,1.0,20,10,7.776950570197921,0.5483705682151677
Iquitos,1.0,20,,7.776950570197921,0.5483705682151677
Iquitos,1.0,10,10,7.835219120290016,0.5803784203796313
Iquitos,1.0,10,20,7.836427691071458,0.580873105691986
Iquitos,1.0,10,,7.836427691071458,0.580873105691986
Iquitos,0.3,1,20,8.024020096053816,1.111603216221371
Iquitos,0.3,1,,8.045279069767442,1.1552549829871341
Iquitos,0.3,1,10,8.060483377438437,1.203939625403016
Iquitos,1.0,5,10,8.48023109390516,0.4672518396290148
Iquitos,1.0,5,20,8.481867720539046,0.4688335298475975
Iquitos,1.0,5,,8.481867720539046,0.4688335298475975
Iquitos,0.5,1,10,8.521729782654635,1.2482293876420085
Iquitos,0.5,1,,8.536302325581396,1.2647752969004182
Iquitos,0.5,1,20,8.546420293466223,1.3077035266185846
Iquitos,1.0,1,20,9.379644840818097,1.4495529657723993
Iquitos,1.0,1,,9.385046511627909,1.4492763539930458
Iquitos,1.0,1,10,9.391315360794994,1.4898684793504438
